task_id,method,control_index,control_r,alpha,one_minus_alpha,gamma,graph_family,n,p,graph_seed,init_id,init_seed,device_seed,initial_parameters,final_parameters,final_objective_loss,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,best_ratio_so_far,final_optimal_mass,shots,steps,tail_window,optimizer_learning_rate,optimizer_learning_rate_decay_power,optimizer_learning_rate_decay_offset,optimizer_momentum,optimizer_gradient_clip,optimizer_tilt_learning_rate_penalty,simulator
CVaR|r=0.301029995664|erdos_renyi|g=1|init=0,CVaR,1,0.30102999566398114,0.5,0.5,1.2041199826559246,erdos_renyi,8,2,1,0,20262429,920100,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]","[3.0347661855653785, 0.7511179344915767, 3.004013613497718, 4.144478123997119]",1.9599999999999986,0.6530000000000001,0.6520000000000001,0.6530000000000001,1.0,0.02,100,2,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
QTL|r=0.301029995664|erdos_renyi|g=1|init=0,QTL,1,0.30102999566398114,0.5,0.5,1.2041199826559246,erdos_renyi,8,2,1,0,20262429,920100,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]","[2.9838682224253463, 0.6884767483757942, 2.9738499401700342, 4.130468079431015]",1.694074016489043,0.6540000000000001,0.6600000000000001,0.666,1.0,0.07,100,2,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
CVaR|r=0.698970004336|erdos_renyi|g=1|init=0,CVaR,2,0.6989700043360187,0.2,0.8,2.795880017344075,erdos_renyi,8,2,1,0,20262429,920200,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]","[3.0486938248062985, 0.5799094646293306, 2.915343816854487, 4.158328501062855]",0.7500000000000001,0.655,0.641,0.655,1.0,0.05,100,2,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
QTL|r=0.698970004336|erdos_renyi|g=1|init=0,QTL,2,0.6989700043360187,0.2,0.8,2.795880017344075,erdos_renyi,8,2,1,0,20262429,920200,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]","[3.01102280832368, 0.6687830559634288, 2.928075064806203, 4.093935389084821]",1.277906507805357,0.632,0.6325000000000001,0.633,1.0,0.02,100,2,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
CVaR|r=1|erdos_renyi|g=1|init=0,CVaR,3,0.9999999999999998,0.1,0.9,3.999999999999999,erdos_renyi,8,2,1,0,20262429,920300,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]","[3.064746766436964, 0.7251986044285296, 2.9017808388378796, 4.013994852252931]",0.9000000000000006,0.6050000000000001,0.617,0.629,1.0,0.02,100,2,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
QTL|r=1|erdos_renyi|g=1|init=0,QTL,3,0.9999999999999998,0.1,0.9,3.999999999999999,erdos_renyi,8,2,1,0,20262429,920300,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]","[2.9563081484473974, 0.6645604185259929, 2.9154153681559443, 4.142002765827031]",1.5439338264604683,0.607,0.6255,0.6439999999999999,1.0,0.0,100,2,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
CVaR|r=-0|erdos_renyi|g=2|init=0,CVaR,0,-0.0,1.0,0.0,-0.0,erdos_renyi,8,2,2,0,20262429,930000,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]","[3.034983341521389, 0.6005329695236892, 2.9576916157474242, 4.203533764247294]",3.96,0.604,0.5720000000000001,0.604,1.0,0.08,100,2,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
QTL|r=-0|erdos_renyi|g=2|init=0,QTL,0,-0.0,1.0,0.0,-0.0,erdos_renyi,8,2,2,0,20262429,930000,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]","[3.034983341521389, 0.6005329695236892, 2.9576916157474242, 4.203533764247294]",3.96,0.604,0.5720000000000001,0.604,1.0,0.08,100,2,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
CVaR|r=0.301029995664|erdos_renyi|g=2|init=0,CVaR,1,0.30102999566398114,0.5,0.5,1.2041199826559246,erdos_renyi,8,2,2,0,20262429,930100,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]","[3.0143777612409113, 0.5429652383950044, 3.002356952421451, 4.135482092732996]",1.9799999999999982,0.6119999999999999,0.5914999999999999,0.6119999999999999,1.0,0.15000000000000002,100,2,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
QTL|r=0.301029995664|erdos_renyi|g=2|init=0,QTL,1,0.30102999566398114,0.5,0.5,1.2041199826559246,erdos_renyi,8,2,2,0,20262429,930100,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]","[3.057692566389855, 0.5477269333976393, 3.0144786979212017, 4.128077245326462]",1.551301285026949,0.595,0.576,0.595,1.0,0.13,100,2,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
