method,control_index,control_r,alpha,one_minus_alpha,gamma,graph_family,n,p,graph_seed,num_initializations,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,final_optimal_mass,final_objective_loss
QTL,1,0.30102999566398114,0.5,0.5,1.2041199826559246,erdos_renyi,8,2,0,1,0.7442857142857141,0.7135714285714285,0.7442857142857141,0.15000000000000002,1.0385469542125714
QTL,1,0.30102999566398114,0.5,0.5,1.2041199826559246,erdos_renyi,8,2,1,1,0.6540000000000001,0.6600000000000001,0.666,0.07,1.694074016489043
QTL,1,0.30102999566398114,0.5,0.5,1.2041199826559246,erdos_renyi,8,2,2,1,0.595,0.576,0.595,0.13,1.551301285026949
QTL,1,0.30102999566398114,0.5,0.5,1.2041199826559246,erdos_renyi,8,2,3,1,0.6277777777777778,0.6172222222222222,0.6277777777777778,0.09000000000000001,1.5717801037366959
QTL,1,0.30102999566398114,0.5,0.5,1.2041199826559246,erdos_renyi,8,2,4,1,0.6900000000000001,0.686,0.6900000000000001,0.03,1.746775153274913
QTL,2,0.6989700043360187,0.2,0.8,2.795880017344075,erdos_renyi,8,2,0,1,0.7157142857142856,0.665,0.7157142857142856,0.14,0.658657726646286
QTL,2,0.6989700043360187,0.2,0.8,2.795880017344075,erdos_renyi,8,2,1,1,0.632,0.6325000000000001,0.633,0.02,1.277906507805357
QTL,2,0.6989700043360187,0.2,0.8,2.795880017344075,erdos_renyi,8,2,2,1,0.5479999999999999,0.546,0.5479999999999999,0.05,1.0648407718000958
QTL,2,0.6989700043360187,0.2,0.8,2.795880017344075,erdos_renyi,8,2,3,1,0.6088888888888889,0.6033333333333333,0.6088888888888889,0.05,1.0185822524051114
QTL,2,0.6989700043360187,0.2,0.8,2.795880017344075,erdos_renyi,8,2,4,1,0.757,0.7275,0.757,0.17,0.6096664441271744
QTL,3,0.9999999999999998,0.1,0.9,3.999999999999999,erdos_renyi,8,2,0,1,0.7214285714285715,0.6671428571428571,0.7214285714285715,0.17,0.4349304428746598
QTL,3,0.9999999999999998,0.1,0.9,3.999999999999999,erdos_renyi,8,2,1,1,0.607,0.6255,0.6439999999999999,0.0,1.5439338264604683
QTL,3,0.9999999999999998,0.1,0.9,3.999999999999999,erdos_renyi,8,2,2,1,0.591,0.5705,0.591,0.12000000000000001,0.5292457123839479
