,graph_family,n,p,seed,gamma_plot,gamma_start,gamma_end,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,final_optimal_mass
21,erdos_renyi,8,2,0,1.5,0.0,1.5,0.8008142857142858,0.8012885714285714,0.8042857142857143,0.22319999999999998
22,erdos_renyi,8,2,0,2.0,0.0,2.0,0.7988571428571428,0.7979757142857143,0.8025,0.22669999999999998
23,erdos_renyi,8,2,0,3.0,0.0,3.0,0.7943,0.7940728571428572,0.7996714285714285,0.2255
24,erdos_renyi,8,2,0,4.0,0.0,4.0,0.7909428571428572,0.7910228571428571,0.7982571428571428,0.2283
25,erdos_renyi,8,2,0,5.0,0.0,5.0,0.7902571428571429,0.7904728571428572,0.7953714285714286,0.23139999999999997
26,erdos_renyi,8,2,0,6.0,0.0,6.0,0.7910142857142858,0.7908014285714285,0.7946285714285715,0.23879999999999998
27,erdos_renyi,8,2,0,7.0,0.0,7.0,0.7907714285714286,0.7904128571428571,0.7943,0.24080000000000001
28,erdos_renyi,8,2,0,8.0,0.0,8.0,0.7905714285714286,0.7895114285714286,0.7931857142857144,0.24100000000000002
29,erdos_renyi,8,2,0,10.0,0.0,10.0,0.7867285714285714,0.7855957142857144,0.7882428571428571,0.23750000000000002
30,erdos_renyi,8,2,0,12.0,0.0,12.0,0.7779,0.7775757142857143,0.7796857142857144,0.2309
31,erdos_renyi,8,2,0,14.0,0.0,14.0,0.7654428571428572,0.7648128571428573,0.767457142857143,0.2178
32,erdos_renyi,8,2,0,16.0,0.0,16.0,0.7498285714285714,0.748532857142857,0.7512714285714285,0.2019
33,erdos_renyi,8,2,0,18.0,0.0,18.0,0.7268857142857144,0.7243257142857142,0.7292428571428572,0.1741
34,erdos_renyi,8,2,0,24.0,0.0,24.0,0.6607428571428571,0.6584514285714286,0.6627714285714286,0.09910000000000001
35,erdos_renyi,8,2,0,32.0,0.0,32.0,0.6023000000000002,0.6020614285714287,0.6040857142857143,0.05050000000000001
36,erdos_renyi,8,2,0,45.0,0.0,45.0,0.5755857142857143,0.5754757142857143,0.5779285714285713,0.0285
37,erdos_renyi,8,2,0,55.0,0.0,55.0,0.5711857142857143,0.5720399999999999,0.5774857142857143,0.0235
38,erdos_renyi,8,2,0,64.0,0.0,64.0,0.571,0.5723014285714284,0.5768714285714286,0.0231
39,erdos_renyi,8,2,0,128.0,0.0,128.0,0.5745142857142856,0.5735571428571429,0.5792285714285715,0.022099999999999998
40,erdos_renyi,8,2,0,256.0,0.0,256.0,0.5586857142857143,0.5591671428571429,0.562657142857143,0.0148
41,erdos_renyi,8,2,0,512.0,0.0,512.0,0.48577142857142863,0.48731428571428576,0.4909428571428571,0.0063
42,erdos_renyi,8,2,0,1024.0,0.0,1024.0,0.4176,0.41664571428571434,0.4201142857142858,0.0031
43,erdos_renyi,8,2,1,0.0,0.0,0.0,0.8735299999999999,0.8740229999999999,0.87529,0.1116
44,erdos_renyi,8,2,1,0.25,0.0,0.25,0.8737100000000002,0.873604,0.8747200000000002,0.1169
45,erdos_renyi,8,2,1,0.33,0.0,0.33,0.8728299999999999,0.8731009999999999,0.8745799999999999,0.11810000000000001
46,erdos_renyi,8,2,1,0.38,0.0,0.38,0.87232,0.8725590000000001,0.8744299999999999,0.1185
47,erdos_renyi,8,2,1,0.4,0.0,0.4,0.87187,0.8723970000000001,0.8747399999999999,0.1188
48,erdos_renyi,8,2,1,0.5,0.0,0.5,0.87165,0.8719300000000001,0.87421,0.1198
49,erdos_renyi,8,2,1,0.56,0.0,0.56,0.8711400000000001,0.871749,0.87393,0.12029999999999999
50,erdos_renyi,8,2,1,0.6,0.0,0.6,0.87088,0.8713849999999999,0.87385,0.1213
51,erdos_renyi,8,2,1,0.64,0.0,0.64,0.87011,0.8711679999999999,0.8736,0.1222
52,erdos_renyi,8,2,1,0.7,0.0,0.7,0.8702200000000001,0.870759,0.87364,0.12279999999999999
53,erdos_renyi,8,2,1,0.74,0.0,0.74,0.86997,0.8704129999999999,0.8738699999999999,0.1231
54,erdos_renyi,8,2,1,0.8,0.0,0.8,0.8694700000000001,0.870133,0.87334,0.1236
55,erdos_renyi,8,2,1,0.85,0.0,0.85,0.86893,0.8698520000000001,0.8731100000000002,0.1241
56,erdos_renyi,8,2,1,0.9,0.0,0.9,0.8689399999999999,0.869585,0.8727500000000001,0.1245
57,erdos_renyi,8,2,1,1.0,0.0,1.0,0.8680999999999999,0.868991,0.8721599999999998,0.12530000000000002
58,erdos_renyi,8,2,1,1.1,0.0,1.1,0.8669499999999999,0.868273,0.87141,0.12569999999999998
59,erdos_renyi,8,2,1,1.2,0.0,1.2,0.8664999999999999,0.8676219999999999,0.8706299999999999,0.1265
60,erdos_renyi,8,2,1,1.25,0.0,1.25,0.86603,0.8672169999999999,0.87043,0.12669999999999998
61,erdos_renyi,8,2,1,1.28,0.0,1.28,0.8659700000000001,0.8669800000000001,0.87004,0.12669999999999998
62,erdos_renyi,8,2,1,1.3,0.0,1.3,0.8657199999999999,0.8668949999999999,0.8700800000000001,0.1268
63,erdos_renyi,8,2,1,1.4,0.0,1.4,0.8644999999999999,0.8660629999999999,0.8692500000000001,0.1272
64,erdos_renyi,8,2,1,1.5,0.0,1.5,0.86342,0.865289,0.8682500000000001,0.1279
65,erdos_renyi,8,2,1,2.0,0.0,2.0,0.85931,0.859972,0.86252,0.12990000000000002
66,erdos_renyi,8,2,1,3.0,0.0,3.0,0.8285899999999998,0.829228,0.8319799999999999,0.1117
67,erdos_renyi,8,2,1,4.0,0.0,4.0,0.74816,0.740253,0.7481800000000001,0.0369
68,erdos_renyi,8,2,1,5.0,0.0,5.0,0.7285799999999999,0.7258190000000001,0.729,0.033
69,erdos_renyi,8,2,1,6.0,0.0,6.0,0.7213200000000001,0.720349,0.72217,0.0314
70,erdos_renyi,8,2,1,7.0,0.0,7.0,0.7189,0.7190629999999999,0.72059,0.0312
71,erdos_renyi,8,2,1,8.0,0.0,8.0,0.7153099999999999,0.7153219999999999,0.7170399999999999,0.031
72,erdos_renyi,8,2,1,10.0,0.0,10.0,0.71036,0.710821,0.7121999999999999,0.0307
73,erdos_renyi,8,2,1,12.0,0.0,12.0,0.70601,0.7066399999999999,0.7086499999999999,0.0299
74,erdos_renyi,8,2,1,14.0,0.0,14.0,0.70325,0.7029259999999999,0.7050400000000001,0.0295
75,erdos_renyi,8,2,1,16.0,0.0,16.0,0.6999,0.6998049999999999,0.70183,0.0288
76,erdos_renyi,8,2,1,18.0,0.0,18.0,0.6976,0.6975830000000001,0.69955,0.0276
77,erdos_renyi,8,2,1,24.0,0.0,24.0,0.68969,0.689604,0.69188,0.0264
78,erdos_renyi,8,2,1,32.0,0.0,32.0,0.67827,0.6781530000000001,0.68017,0.0239
79,erdos_renyi,8,2,1,45.0,0.0,45.0,0.67074,0.671002,0.6738700000000001,0.02
80,erdos_renyi,8,2,1,55.0,0.0,55.0,0.66643,0.667055,0.6715899999999999,0.0175
81,erdos_renyi,8,2,1,64.0,0.0,64.0,0.66474,0.6650639999999999,0.6704800000000001,0.0162
82,erdos_renyi,8,2,1,128.0,0.0,128.0,0.66096,0.6617780000000001,0.66679,0.0143
