,iteration,loss,mean_cut,mean_ratio,best_ratio_step,best_ratio_so_far,best_cut_so_far,optimal_mass,gamma,lr,grad_norm,circuit_evals,shots_used,graph_family,n,p,seed,objective,mode
53,54,2.255859375,12.6474609375,0.8431640625,1.0,1.0,15,0.12109375,,0.018936046761683596,1.2411371744899429,756,774144,erdos_renyi,14,3,0,Expectation,sampled
54,55,2.3056640625,12.58984375,0.8393229166666667,1.0,1.0,15,0.107421875,,0.018764677113571295,0.451660948056738,770,788480,erdos_renyi,14,3,0,Expectation,sampled
55,56,2.421875,12.5830078125,0.8388671875,1.0,1.0,15,0.0849609375,,0.018597607420066286,0.9664969547419127,784,802816,erdos_renyi,14,3,0,Expectation,sampled
56,57,2.3369140625,12.7470703125,0.8498046875,1.0,1.0,15,0.1298828125,,0.01843466300554247,1.2039130466276755,798,817152,erdos_renyi,14,3,0,Expectation,sampled
57,58,2.3203125,12.6962890625,0.8464192708333333,1.0,1.0,15,0.095703125,,0.018275678918015296,1.0166522186586777,812,831488,erdos_renyi,14,3,0,Expectation,sampled
58,59,2.3623046875,12.802734375,0.853515625,1.0,1.0,15,0.1123046875,,0.01812049924608745,0.798324164840304,826,845824,erdos_renyi,14,3,0,Expectation,sampled
59,60,2.326171875,12.681640625,0.8454427083333333,1.0,1.0,15,0.11328125,,0.017968976493533073,1.6273839043668772,840,860160,erdos_renyi,14,3,0,Expectation,sampled
60,61,2.373046875,12.630859375,0.8420572916666667,1.0,1.0,15,0.0810546875,,0.01782097100586636,1.3553456187319235,854,874496,erdos_renyi,14,3,0,Expectation,sampled
61,62,2.294921875,12.5576171875,0.8371744791666667,1.0,1.0,15,0.1005859375,,0.017676350443870288,1.490529362391552,868,888832,erdos_renyi,14,3,0,Expectation,sampled
62,63,2.2900390625,12.515625,0.834375,1.0,1.0,15,0.0703125,,0.01753498929961278,1.461842628828411,882,903168,erdos_renyi,14,3,0,Expectation,sampled
63,64,2.380859375,12.6357421875,0.8423828125,1.0,1.0,15,0.0947265625,,0.01739676845096164,0.513422103901753,896,917504,erdos_renyi,14,3,0,Expectation,sampled
64,65,2.357421875,12.51171875,0.8341145833333333,1.0,1.0,15,0.099609375,,0.017261574751035083,0.46794262337073994,910,931840,erdos_renyi,14,3,0,Expectation,sampled
65,66,2.388671875,12.546875,0.8364583333333333,1.0,1.0,15,0.09765625,,0.017129300649399624,1.3616685482714073,924,946176,erdos_renyi,14,3,0,Expectation,sampled
66,67,2.3427734375,12.6484375,0.8432291666666667,1.0,1.0,15,0.09765625,,0.01699984384215766,0.8543219696531461,938,960512,erdos_renyi,14,3,0,Expectation,sampled
67,68,2.3017578125,12.5966796875,0.8397786458333333,1.0,1.0,15,0.087890625,,0.01687310694835983,0.6201771624540761,952,974848,erdos_renyi,14,3,0,Expectation,sampled
68,69,2.4697265625,12.5751953125,0.8383463541666667,1.0,1.0,15,0.099609375,,0.016748997210435965,1.2695665559994498,966,989184,erdos_renyi,14,3,0,Expectation,sampled
69,70,2.3505859375,12.7265625,0.8484375,1.0,1.0,15,0.115234375,,0.016627426216568396,0.631900082476176,980,1003520,erdos_renyi,14,3,0,Expectation,sampled
70,71,2.3818359375,12.607421875,0.8404947916666666,1.0,1.0,15,0.111328125,,0.01650830964313557,0.6362047988034257,994,1017856,erdos_renyi,14,3,0,Expectation,sampled
71,72,2.4208984375,12.625,0.8416666666666667,1.0,1.0,15,0.0986328125,,0.016391567015535524,1.1684059166956633,1008,1032192,erdos_renyi,14,3,0,Expectation,sampled
72,73,2.455078125,12.580078125,0.838671875,1.0,1.0,15,0.0927734375,,0.016277121485861,0.8396364887786699,1022,1046528,erdos_renyi,14,3,0,Expectation,sampled
73,74,2.3046875,12.6259765625,0.8417317708333333,1.0,1.0,15,0.115234375,,0.01616489962604245,0.5793649933083559,1036,1060864,erdos_renyi,14,3,0,Expectation,sampled
74,75,2.333984375,12.6689453125,0.8445963541666667,1.0,1.0,15,0.1064453125,,0.016054831235204608,1.0536018718172797,1050,1075200,erdos_renyi,14,3,0,Expectation,sampled
75,76,2.322265625,12.697265625,0.846484375,1.0,1.0,15,0.103515625,,0.015946849160098125,0.6488116919671691,1064,1089536,erdos_renyi,14,3,0,Expectation,sampled
76,77,2.2734375,12.55078125,0.83671875,1.0,1.0,15,0.1005859375,,0.015840889127571523,0.9334481736330552,1078,1103872,erdos_renyi,14,3,0,Expectation,sampled
77,78,2.30078125,12.671875,0.8447916666666667,1.0,1.0,15,0.10546875,,0.01573688958814218,1.038261850834575,1092,1118208,erdos_renyi,14,3,0,Expectation,sampled
78,79,2.431640625,12.677734375,0.8451822916666667,1.0,1.0,15,0.0908203125,,0.01563479156980859,0.8123156998757615,1106,1132544,erdos_renyi,14,3,0,Expectation,sampled
79,80,2.2890625,12.609375,0.840625,1.0,1.0,15,0.091796875,,0.015534538541321963,1.2208574121246694,1120,1146880,erdos_renyi,14,3,0,Expectation,sampled
80,81,2.34375,12.66796875,0.84453125,1.0,1.0,15,0.0888671875,,0.015436076284203048,1.290694989022387,1134,1161216,erdos_renyi,14,3,0,Expectation,sampled
81,82,2.3291015625,12.595703125,0.8397135416666667,1.0,1.0,15,0.10546875,,0.015339352772851573,0.7985929035562186,1148,1175552,erdos_renyi,14,3,0,Expectation,sampled
82,83,2.4013671875,12.5751953125,0.8383463541666667,1.0,1.0,15,0.10546875,,0.015244318062151213,0.7626465453359065,1162,1189888,erdos_renyi,14,3,0,Expectation,sampled
83,84,2.330078125,12.7080078125,0.8472005208333333,1.0,1.0,15,0.103515625,,0.015150924182023153,1.0415156954398987,1176,1204224,erdos_renyi,14,3,0,Expectation,sampled
84,85,2.3515625,12.6494140625,0.8432942708333333,1.0,1.0,15,0.0888671875,,0.015059125038426886,0.682701007461084,1190,1218560,erdos_renyi,14,3,0,Expectation,sampled
