,graph_family,n,p,seed,gamma_plot,gamma_start,gamma_end,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,final_optimal_mass
62,erdos_renyi,8,2,1,14.0,0.0,14.0,0.707421875,0.7076464843749999,0.7201171875,0.0263671875
63,erdos_renyi,8,2,1,16.0,0.0,16.0,0.7060546875,0.7076171875,0.7201171875,0.0263671875
64,erdos_renyi,8,2,1,18.0,0.0,18.0,0.69833984375,0.7017675781250001,0.71201171875,0.02734375
65,erdos_renyi,8,2,1,24.0,0.0,24.0,0.6892578125,0.690224609375,0.698828125,0.0244140625
66,erdos_renyi,8,2,1,32.0,0.0,32.0,0.6890625,0.6850781250000001,0.696875,0.02734375
67,erdos_renyi,8,2,1,45.0,0.0,45.0,0.67529296875,0.67244140625,0.68037109375,0.01953125
68,erdos_renyi,8,2,1,55.0,0.0,55.0,0.6763671875,0.6674609375000001,0.6763671875,0.021484375
69,erdos_renyi,8,2,1,64.0,0.0,64.0,0.67490234375,0.667421875,0.67490234375,0.021484375
70,erdos_renyi,8,2,2,0.0,0.0,0.0,0.8287109375,0.82275390625,0.83310546875,0.431640625
71,erdos_renyi,8,2,2,0.25,0.0,0.25,0.82841796875,0.82146484375,0.8318359375,0.4404296875
72,erdos_renyi,8,2,2,0.33,0.0,0.33,0.8275390625,0.8210546875,0.8314453125,0.44140625
73,erdos_renyi,8,2,2,0.4,0.0,0.4,0.828515625,0.820771484375,0.83203125,0.443359375
74,erdos_renyi,8,2,2,0.5,0.0,0.5,0.82744140625,0.820419921875,0.83095703125,0.443359375
75,erdos_renyi,8,2,2,0.56,0.0,0.56,0.82763671875,0.8202246093749999,0.83125,0.4443359375
76,erdos_renyi,8,2,2,0.64,0.0,0.64,0.8279296875,0.8198046874999999,0.8294921875,0.4443359375
77,erdos_renyi,8,2,2,0.7,0.0,0.7,0.82705078125,0.8196875,0.8296875,0.4443359375
78,erdos_renyi,8,2,2,0.8,0.0,0.8,0.8251953125,0.8192285156250001,0.83017578125,0.4462890625
79,erdos_renyi,8,2,2,0.9,0.0,0.9,0.825,0.8185449218749999,0.8298828125,0.4462890625
80,erdos_renyi,8,2,2,1.0,0.0,1.0,0.82451171875,0.8180273437500001,0.8306640625,0.447265625
81,erdos_renyi,8,2,2,1.1,0.0,1.1,0.8228515625,0.8175488281249998,0.8302734375,0.4462890625
82,erdos_renyi,8,2,2,1.2,0.0,1.2,0.82294921875,0.81748046875,0.830859375,0.4462890625
83,erdos_renyi,8,2,2,1.25,0.0,1.25,0.82275390625,0.8173632812499999,0.83046875,0.4462890625
84,erdos_renyi,8,2,2,1.28,0.0,1.28,0.82275390625,0.8172265624999999,0.83134765625,0.4462890625
85,erdos_renyi,8,2,2,1.3,0.0,1.3,0.8228515625,0.817275390625,0.83056640625,0.4462890625
86,erdos_renyi,8,2,2,1.4,0.0,1.4,0.8228515625,0.8171679687500001,0.83134765625,0.4462890625
