,graph_family,n,p,seed,gamma_plot,gamma_raw,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,final_optimal_mass
16,erdos_renyi,8,2,0,1.2,1.2,0.8032857142857143,0.8050628571428572,0.8100285714285713,0.227
17,erdos_renyi,8,2,0,1.25,1.25,0.8024857142857142,0.8046171428571428,0.8096857142857142,0.2276
18,erdos_renyi,8,2,0,1.28,1.28,0.8021714285714285,0.80434,0.8096571428571429,0.2274
19,erdos_renyi,8,2,0,1.3,1.3,0.8019428571428572,0.8042714285714286,0.8094000000000001,0.22699999999999998
20,erdos_renyi,8,2,0,1.35,1.35,0.8014285714285715,0.8039314285714285,0.8087428571428571,0.2274
21,erdos_renyi,8,2,0,1.4,1.4,0.8016285714285714,0.8036914285714287,0.8083142857142857,0.2278
22,erdos_renyi,8,2,0,1.5,1.5,0.8009142857142858,0.80288,0.8078571428571429,0.22840000000000002
23,erdos_renyi,8,2,0,1.8,1.8,0.8002,0.8012857142857142,0.8059428571428572,0.22900000000000004
24,erdos_renyi,8,2,0,2.2,2.2,0.7976857142857143,0.7994742857142858,0.805142857142857,0.2292
25,erdos_renyi,8,2,0,2.6,2.6,0.7969714285714284,0.7985342857142858,0.8044000000000001,0.22999999999999998
26,erdos_renyi,8,2,0,3.0,3.0,0.7962571428571429,0.797622857142857,0.804,0.23099999999999998
27,erdos_renyi,8,2,0,4.0,4.0,0.7936571428571428,0.7964,0.8045428571428571,0.22820000000000001
28,erdos_renyi,8,2,0,5.0,5.0,0.7928285714285715,0.7959457142857144,0.8015714285714287,0.2272
29,erdos_renyi,8,2,0,6.0,6.0,0.7933142857142857,0.7961485714285714,0.8026857142857143,0.225
30,erdos_renyi,8,2,0,7.0,7.0,0.7921428571428571,0.7894857142857143,0.7953714285714286,0.22100000000000003
31,erdos_renyi,8,2,0,8.0,8.0,0.7840571428571429,0.7784,0.7864285714285716,0.21159999999999998
32,erdos_renyi,8,2,0,10.0,10.0,0.7033714285714286,0.6915085714285715,0.7033714285714286,0.12020000000000002
33,erdos_renyi,8,2,0,12.0,12.0,0.6297142857142858,0.6279285714285715,0.6343142857142858,0.0654
34,erdos_renyi,8,2,0,14.0,14.0,0.6190571428571429,0.6198628571428572,0.6245142857142857,0.0606
35,erdos_renyi,8,2,0,16.0,16.0,0.6098571428571429,0.6057514285714287,0.6112571428571429,0.052
36,erdos_renyi,8,2,0,18.0,18.0,0.5904857142857143,0.5880057142857144,0.5922285714285714,0.03559999999999999
37,erdos_renyi,8,2,1,0.0,0.0,0.8754,0.873816,0.87662,0.11860000000000001
38,erdos_renyi,8,2,1,0.25,0.25,0.87572,0.873428,0.87572,0.1242
39,erdos_renyi,8,2,1,0.33,0.33,0.87486,0.8729700000000001,0.87486,0.125
40,erdos_renyi,8,2,1,0.38,0.38,0.8741199999999999,0.8728259999999999,0.8747399999999999,0.1254
41,erdos_renyi,8,2,1,0.4,0.4,0.8742999999999999,0.8728179999999999,0.8753200000000001,0.1256
42,erdos_renyi,8,2,1,0.5,0.5,0.87332,0.871048,0.87332,0.12719999999999998
43,erdos_renyi,8,2,1,0.56,0.56,0.8704000000000001,0.8624560000000002,0.8704000000000001,0.12780000000000002
44,erdos_renyi,8,2,1,0.6,0.6,0.8682400000000001,0.8590779999999999,0.8682400000000001,0.1274
45,erdos_renyi,8,2,1,0.64,0.64,0.86456,0.853896,0.86456,0.12619999999999998
46,erdos_renyi,8,2,1,0.7,0.7,0.81396,0.7632319999999999,0.81396,0.059199999999999996
47,erdos_renyi,8,2,1,0.74,0.74,0.7709400000000001,0.725554,0.7709400000000001,0.0366
48,erdos_renyi,8,2,1,0.8,0.8,0.7297800000000001,0.703986,0.7297800000000001,0.0276
49,erdos_renyi,8,2,1,0.85,0.85,0.68982,0.6813879999999999,0.68982,0.0262
50,erdos_renyi,8,2,1,0.9,0.9,0.68456,0.675752,0.68456,0.0284
51,erdos_renyi,8,2,1,1.0,1.0,0.6759000000000001,0.6696580000000001,0.6759000000000001,0.0258
52,erdos_renyi,8,2,1,1.1,1.1,0.66986,0.66566,0.66986,0.02
53,erdos_renyi,8,2,1,1.2,1.2,0.67028,0.666196,0.67028,0.0212
54,erdos_renyi,8,2,1,1.25,1.25,0.67188,0.6680140000000001,0.67188,0.025
55,erdos_renyi,8,2,1,1.28,1.28,0.67294,0.668256,0.67294,0.0256
56,erdos_renyi,8,2,1,1.3,1.3,0.67376,0.6685719999999999,0.67376,0.025599999999999998
57,erdos_renyi,8,2,1,1.35,1.35,0.67386,0.668806,0.67386,0.026000000000000002
58,erdos_renyi,8,2,1,1.4,1.4,0.6742,0.669678,0.6742,0.0262
59,erdos_renyi,8,2,1,1.5,1.5,0.6794,0.673816,0.6794,0.030400000000000003
60,erdos_renyi,8,2,1,1.8,1.8,0.6907,0.683798,0.6907,0.024399999999999998
61,erdos_renyi,8,2,1,2.2,2.2,0.7623599999999999,0.7381660000000001,0.7623599999999999,0.035
62,erdos_renyi,8,2,1,2.6,2.6,0.7944599999999999,0.7692760000000001,0.7944599999999999,0.0556
63,erdos_renyi,8,2,1,3.0,3.0,0.8153,0.791646,0.8153,0.07500000000000001
64,erdos_renyi,8,2,1,4.0,4.0,0.7522800000000001,0.738204,0.7522800000000001,0.0322
65,erdos_renyi,8,2,1,5.0,5.0,0.7150000000000001,0.710904,0.71548,0.0264
66,erdos_renyi,8,2,1,6.0,6.0,0.7012,0.6978460000000001,0.7012,0.024
67,erdos_renyi,8,2,1,7.0,7.0,0.6921200000000001,0.688906,0.6921200000000001,0.0252
68,erdos_renyi,8,2,1,8.0,8.0,0.6850799999999999,0.68216,0.6850799999999999,0.0268
69,erdos_renyi,8,2,1,10.0,10.0,0.67384,0.671544,0.67408,0.0282
70,erdos_renyi,8,2,1,12.0,12.0,0.66994,0.667552,0.6717000000000001,0.0252
71,erdos_renyi,8,2,1,14.0,14.0,0.6668200000000001,0.6650800000000001,0.6692600000000001,0.0208
72,erdos_renyi,8,2,1,16.0,16.0,0.66398,0.663486,0.6684,0.0196
73,erdos_renyi,8,2,1,18.0,18.0,0.6634,0.662326,0.66738,0.0184
74,erdos_renyi,8,2,2,0.0,0.0,0.8187199999999999,0.8153919999999999,0.8229199999999999,0.41259999999999997
75,erdos_renyi,8,2,2,0.25,0.25,0.8171199999999998,0.8141320000000001,0.8233,0.4198
76,erdos_renyi,8,2,2,0.33,0.33,0.8165799999999999,0.8137779999999999,0.8224599999999999,0.4208
77,erdos_renyi,8,2,2,0.38,0.38,0.8160800000000001,0.8135819999999999,0.82212,0.42100000000000004
78,erdos_renyi,8,2,2,0.4,0.4,0.8158800000000002,0.813334,0.8218,0.42100000000000004
79,erdos_renyi,8,2,2,0.5,0.5,0.8155999999999999,0.812784,0.82136,0.4222
80,erdos_renyi,8,2,2,0.56,0.56,0.8151599999999999,0.812388,0.82104,0.4232
81,erdos_renyi,8,2,2,0.6,0.6,0.8152200000000001,0.8122679999999999,0.82028,0.4234
82,erdos_renyi,8,2,2,0.64,0.64,0.8148199999999999,0.812162,0.82044,0.42379999999999995
83,erdos_renyi,8,2,2,0.7,0.7,0.8143800000000001,0.812006,0.8210599999999999,0.4244
84,erdos_renyi,8,2,2,0.74,0.74,0.81404,0.811772,0.82082,0.4246
