graph_family,n,p,seed,objective,init_id,init_seed,init_params,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,final_optimal_mass,gamma_plot,gamma_average_requested,gamma_average_realized,gamma_start,gamma_end_exclusive,gamma_last
erdos_renyi,8,2,2,QTL ascending schedule with average gamma=3.00,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.54878,0.546394,0.5519000000000001,0.0358,3.0,3.0,2.97,0.0,6.0,5.9399999999999995
erdos_renyi,8,2,2,QTL ascending schedule with average gamma=3.00,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.81188,0.8091079999999999,0.81698,0.4306,3.0,3.0,2.97,0.0,6.0,5.9399999999999995
erdos_renyi,8,2,2,QTL ascending schedule with average gamma=3.00,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.5489,0.546462,0.55316,0.035199999999999995,3.0,3.0,2.97,0.0,6.0,5.9399999999999995
erdos_renyi,8,2,2,QTL ascending schedule with average gamma=3.00,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.68834,0.692292,0.70936,0.1906,3.0,3.0,2.97,0.0,6.0,5.9399999999999995
erdos_renyi,8,2,2,QTL ascending schedule with average gamma=4.00,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.74306,0.7487959999999999,0.75944,0.2996,4.0,4.0,3.9599999999999995,0.0,8.0,7.92
erdos_renyi,8,2,2,QTL ascending schedule with average gamma=4.00,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.54924,0.5465880000000001,0.5521800000000001,0.0352,4.0,4.0,3.9599999999999995,0.0,8.0,7.92
erdos_renyi,8,2,2,QTL ascending schedule with average gamma=4.00,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8117599999999999,0.8091160000000001,0.8169599999999999,0.4306,4.0,4.0,3.9599999999999995,0.0,8.0,7.92
erdos_renyi,8,2,2,QTL ascending schedule with average gamma=4.00,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.5481800000000001,0.5463500000000001,0.55298,0.035,4.0,4.0,3.9599999999999995,0.0,8.0,7.92
erdos_renyi,8,2,2,QTL ascending schedule with average gamma=4.00,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.6881600000000001,0.692048,0.7070000000000001,0.1904,4.0,4.0,3.9599999999999995,0.0,8.0,7.92
erdos_renyi,8,2,2,QTL ascending schedule with average gamma=8.00,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.74332,0.7487859999999998,0.75564,0.3,8.0,8.0,7.919999999999999,0.0,16.0,15.84
erdos_renyi,8,2,2,QTL ascending schedule with average gamma=8.00,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.54886,0.5466660000000001,0.55252,0.035199999999999995,8.0,8.0,7.919999999999999,0.0,16.0,15.84
erdos_renyi,8,2,2,QTL ascending schedule with average gamma=8.00,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8119999999999999,0.8092280000000001,0.81716,0.431,8.0,8.0,7.919999999999999,0.0,16.0,15.84
erdos_renyi,8,2,2,QTL ascending schedule with average gamma=8.00,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.54922,0.54649,0.55318,0.0354,8.0,8.0,7.919999999999999,0.0,16.0,15.84
erdos_renyi,8,2,2,QTL ascending schedule with average gamma=8.00,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.68828,0.6920080000000001,0.7003,0.1906,8.0,8.0,7.919999999999999,0.0,16.0,15.84
erdos_renyi,8,2,2,QTL ascending schedule with average gamma=10.00,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.7434000000000001,0.7488120000000001,0.7552199999999999,0.2996,10.0,10.0,9.9,0.0,20.0,19.8
erdos_renyi,8,2,2,QTL ascending schedule with average gamma=10.00,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.54884,0.546656,0.5529200000000001,0.035,10.0,10.0,9.9,0.0,20.0,19.8
erdos_renyi,8,2,2,QTL ascending schedule with average gamma=10.00,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8120999999999998,0.809164,0.81724,0.4312,10.0,10.0,9.9,0.0,20.0,19.8
erdos_renyi,8,2,2,QTL ascending schedule with average gamma=10.00,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.54836,0.54652,0.5536,0.0354,10.0,10.0,9.9,0.0,20.0,19.8
erdos_renyi,8,2,2,QTL ascending schedule with average gamma=10.00,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.6884399999999999,0.692372,0.7002600000000001,0.1908,10.0,10.0,9.9,0.0,20.0,19.8
erdos_renyi,8,2,2,QTL ascending schedule with average gamma=16.00,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.74398,0.7498739999999999,0.75614,0.2988,16.0,16.0,15.839999999999998,0.0,32.0,31.68
erdos_renyi,8,2,2,QTL ascending schedule with average gamma=16.00,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.5481400000000001,0.546112,0.55196,0.0332,16.0,16.0,15.839999999999998,0.0,32.0,31.68
