graph_family,n,p,seed,objective,init_id,init_seed,init_params,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,final_optimal_mass,gamma_plot,gamma_raw
erdos_renyi,8,2,0,QTL gamma=1.20,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.8004571428571429,0.8033142857142858,0.8084571428571429,0.2166,1.2,1.2
erdos_renyi,8,2,0,QTL gamma=1.40,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.869,0.8704000000000001,0.8742000000000001,0.36879999999999996,1.4,1.4
erdos_renyi,8,2,0,QTL gamma=1.40,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.6106571428571429,0.6129228571428571,0.6214285714285713,0.0472,1.4,1.4
erdos_renyi,8,2,0,QTL gamma=1.40,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8836571428571428,0.8830200000000001,0.8901714285714285,0.4276,1.4,1.4
erdos_renyi,8,2,0,QTL gamma=1.40,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.8836571428571428,0.8830285714285715,0.8881714285714286,0.4276,1.4,1.4
erdos_renyi,8,2,0,QTL gamma=1.40,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.7990857142857143,0.8019371428571429,0.8081714285714287,0.2152,1.4,1.4
erdos_renyi,8,2,0,QTL gamma=1.60,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.8688857142857144,0.8699714285714286,0.8742285714285715,0.37,1.6,1.6
erdos_renyi,8,2,0,QTL gamma=1.60,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.614,0.6123228571428572,0.6176857142857143,0.0464,1.6,1.6
erdos_renyi,8,2,0,QTL gamma=1.60,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8821428571428572,0.8820457142857142,0.8896285714285714,0.42619999999999997,1.6,1.6
erdos_renyi,8,2,0,QTL gamma=1.60,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.8821714285714286,0.8819600000000001,0.8862857142857143,0.426,1.6,1.6
erdos_renyi,8,2,0,QTL gamma=1.60,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.7977142857142857,0.8008171428571428,0.8079142857142857,0.2146,1.6,1.6
erdos_renyi,8,2,1,QTL gamma=0.20,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.8714400000000001,0.8724360000000001,0.87584,0.11599999999999999,0.2,0.2
erdos_renyi,8,2,1,QTL gamma=0.20,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.68166,0.6825600000000001,0.68484,0.0072,0.2,0.2
erdos_renyi,8,2,1,QTL gamma=0.20,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8713000000000001,0.872466,0.87578,0.1158,0.2,0.2
erdos_renyi,8,2,1,QTL gamma=0.20,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.68132,0.6813840000000001,0.6857800000000001,0.005,0.2,0.2
erdos_renyi,8,2,1,QTL gamma=0.20,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.8240400000000001,0.8252940000000001,0.83004,0.0622,0.2,0.2
erdos_renyi,8,2,1,QTL gamma=0.40,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.86982,0.8712759999999999,0.8751000000000001,0.1194,0.4,0.4
erdos_renyi,8,2,1,QTL gamma=0.40,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.6780999999999999,0.67798,0.6811,0.0008,0.4,0.4
erdos_renyi,8,2,1,QTL gamma=0.40,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.86982,0.871274,0.8751000000000001,0.1194,0.4,0.4
erdos_renyi,8,2,1,QTL gamma=0.40,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.6744,0.67612,0.67934,0.0002,0.4,0.4
erdos_renyi,8,2,1,QTL gamma=0.40,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.8230600000000001,0.8247099999999999,0.82904,0.0628,0.4,0.4
erdos_renyi,8,2,1,QTL gamma=0.60,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.8615400000000001,0.8620620000000001,0.8659199999999998,0.109,0.6,0.6
erdos_renyi,8,2,1,QTL gamma=0.60,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.6707000000000001,0.6682680000000001,0.6768400000000001,0.0004,0.6,0.6
erdos_renyi,8,2,1,QTL gamma=0.60,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.86826,0.870214,0.87368,0.12040000000000001,0.6,0.6
erdos_renyi,8,2,1,QTL gamma=0.60,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.6624599999999999,0.665046,0.6695800000000001,0.0015999999999999999,0.6,0.6
erdos_renyi,8,2,1,QTL gamma=0.60,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.8215600000000001,0.823694,0.8279,0.0648,0.6,0.6
erdos_renyi,8,2,1,QTL gamma=0.80,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.8603200000000001,0.861346,0.8654600000000002,0.11,0.8,0.8
erdos_renyi,8,2,1,QTL gamma=0.80,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.66504,0.663594,0.6714800000000001,0.0015999999999999999,0.8,0.8
erdos_renyi,8,2,1,QTL gamma=0.80,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.86534,0.8691640000000002,0.87206,0.1208,0.8,0.8
erdos_renyi,8,2,1,QTL gamma=0.80,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.6609200000000001,0.6636740000000001,0.6674399999999999,0.0024,0.8,0.8
erdos_renyi,8,2,1,QTL gamma=0.80,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.81946,0.8222380000000001,0.8273199999999999,0.06559999999999999,0.8,0.8
erdos_renyi,8,2,1,QTL gamma=1.20,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.85882,0.8595499999999999,0.8634599999999999,0.11280000000000001,1.2,1.2
erdos_renyi,8,2,1,QTL gamma=1.20,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.6577599999999999,0.657782,0.6719999999999999,0.0044,1.2,1.2
erdos_renyi,8,2,1,QTL gamma=1.20,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.83958,0.840694,0.8442399999999999,0.106,1.2,1.2
erdos_renyi,8,2,1,QTL gamma=1.20,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.8626999999999999,0.865916,0.8719000000000001,0.1262,1.2,1.2
erdos_renyi,8,2,1,QTL gamma=1.20,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.81552,0.8193020000000001,0.825,0.067,1.2,1.2
erdos_renyi,8,2,1,QTL gamma=1.40,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.85778,0.85868,0.86222,0.1136,1.4,1.4
erdos_renyi,8,2,1,QTL gamma=1.40,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.66394,0.6648379999999999,0.6746000000000001,0.0242,1.4,1.4
erdos_renyi,8,2,1,QTL gamma=1.40,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8389800000000001,0.8390259999999999,0.8419599999999999,0.1096,1.4,1.4
erdos_renyi,8,2,1,QTL gamma=1.40,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.8610800000000001,0.8641759999999999,0.8717400000000002,0.1288,1.4,1.4
erdos_renyi,8,2,1,QTL gamma=1.40,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.81354,0.8178920000000002,0.82362,0.06820000000000001,1.4,1.4
erdos_renyi,8,2,1,QTL gamma=1.60,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.8575799999999999,0.857626,0.8621599999999999,0.1152,1.6,1.6
erdos_renyi,8,2,1,QTL gamma=1.60,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.6637000000000001,0.66503,0.67162,0.0248,1.6,1.6
erdos_renyi,8,2,1,QTL gamma=1.60,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8338599999999999,0.8345460000000001,0.83872,0.1038,1.6,1.6
erdos_renyi,8,2,1,QTL gamma=1.60,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.8603,0.8622819999999999,0.87242,0.13,1.6,1.6
erdos_renyi,8,2,1,QTL gamma=1.60,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.81312,0.8169980000000001,0.82226,0.0678,1.6,1.6
erdos_renyi,8,2,2,QTL gamma=0.20,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.7620800000000001,0.7654,0.7741,0.2794,0.2,0.2
erdos_renyi,8,2,2,QTL gamma=0.20,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.54944,0.5474559999999999,0.5546800000000001,0.0354,0.2,0.2
erdos_renyi,8,2,2,QTL gamma=0.20,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.82014,0.8173999999999999,0.8259799999999998,0.42200000000000004,0.2,0.2
erdos_renyi,8,2,2,QTL gamma=0.20,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.5486800000000001,0.5476020000000001,0.55456,0.035,0.2,0.2
erdos_renyi,8,2,2,QTL gamma=0.20,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.7073799999999999,0.710852,0.718,0.1746,0.2,0.2
erdos_renyi,8,2,2,QTL gamma=0.40,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.7595799999999999,0.761958,0.7690800000000001,0.2872,0.4,0.4
erdos_renyi,8,2,2,QTL gamma=0.40,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.5479800000000001,0.546832,0.5553,0.0354,0.4,0.4
erdos_renyi,8,2,2,QTL gamma=0.40,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8172200000000001,0.8160200000000002,0.82502,0.422,0.4,0.4
erdos_renyi,8,2,2,QTL gamma=0.40,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.54664,0.547314,0.5545,0.035199999999999995,0.4,0.4
erdos_renyi,8,2,2,QTL gamma=0.40,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.7067,0.708564,0.7145,0.184,0.4,0.4
erdos_renyi,8,2,2,QTL gamma=0.60,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.75538,0.758852,0.7676000000000001,0.29059999999999997,0.6,0.6
erdos_renyi,8,2,2,QTL gamma=0.60,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.54676,0.5466300000000001,0.55496,0.0354,0.6,0.6
erdos_renyi,8,2,2,QTL gamma=0.60,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8158799999999999,0.8144960000000001,0.8234600000000001,0.423,0.6,0.6
erdos_renyi,8,2,2,QTL gamma=0.60,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.5472,0.547118,0.5550200000000001,0.0352,0.6,0.6
erdos_renyi,8,2,2,QTL gamma=0.60,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.7004400000000001,0.7049160000000001,0.7101600000000001,0.1866,0.6,0.6
erdos_renyi,8,2,2,QTL gamma=0.80,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.75266,0.756358,0.7648,0.29400000000000004,0.8,0.8
erdos_renyi,8,2,2,QTL gamma=0.80,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.54894,0.547142,0.55446,0.036,0.8,0.8
erdos_renyi,8,2,2,QTL gamma=0.80,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8156400000000001,0.8136479999999999,0.82332,0.4262,0.8,0.8
erdos_renyi,8,2,2,QTL gamma=0.80,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.54744,0.547318,0.5547000000000001,0.035,0.8,0.8
erdos_renyi,8,2,2,QTL gamma=0.80,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.6977400000000001,0.7021040000000001,0.7078199999999999,0.1896,0.8,0.8
erdos_renyi,8,2,2,QTL gamma=1.20,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.74906,0.753148,0.76054,0.2964,1.2,1.2
erdos_renyi,8,2,2,QTL gamma=1.20,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.5476,0.5465000000000001,0.55274,0.036000000000000004,1.2,1.2
erdos_renyi,8,2,2,QTL gamma=1.20,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8148199999999999,0.811924,0.8203800000000001,0.428,1.2,1.2
erdos_renyi,8,2,2,QTL gamma=1.20,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.54884,0.54706,0.55394,0.0358,1.2,1.2
erdos_renyi,8,2,2,QTL gamma=1.20,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.69326,0.697532,0.7041999999999999,0.19019999999999998,1.2,1.2
erdos_renyi,8,2,2,QTL gamma=1.40,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.7474200000000001,0.75183,0.7591,0.2976,1.4,1.4
erdos_renyi,8,2,2,QTL gamma=1.40,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.5483,0.5468080000000001,0.5526199999999999,0.0362,1.4,1.4
erdos_renyi,8,2,2,QTL gamma=1.40,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.81432,0.811234,0.8198800000000002,0.4284,1.4,1.4
erdos_renyi,8,2,2,QTL gamma=1.40,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.5473,0.546562,0.5530200000000001,0.036000000000000004,1.4,1.4
erdos_renyi,8,2,2,QTL gamma=1.40,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.6916,0.696216,0.70456,0.1894,1.4,1.4
erdos_renyi,8,2,2,QTL gamma=1.60,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.74678,0.7510340000000001,0.75808,0.29900000000000004,1.6,1.6
erdos_renyi,8,2,2,QTL gamma=1.60,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.54794,0.54676,0.552,0.0362,1.6,1.6
erdos_renyi,8,2,2,QTL gamma=1.60,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.81358,0.81085,0.81966,0.4276,1.6,1.6
erdos_renyi,8,2,2,QTL gamma=1.60,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.5485,0.546584,0.5526199999999999,0.0358,1.6,1.6
erdos_renyi,8,2,2,QTL gamma=1.60,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.6909799999999999,0.69522,0.70422,0.191,1.6,1.6
erdos_renyi,8,2,3,QTL gamma=0.20,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.8473111111111111,0.8476688888888889,0.8526888888888888,0.2524,0.2,0.2
erdos_renyi,8,2,3,QTL gamma=0.20,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.6095333333333334,0.6112,0.6174444444444445,0.0102,0.2,0.2
erdos_renyi,8,2,3,QTL gamma=0.20,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8472222222222222,0.8476577777777777,0.8527111111111112,0.2524,0.2,0.2
erdos_renyi,8,2,3,QTL gamma=0.20,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.5603111111111111,0.5629244444444443,0.5681999999999999,0.0114,0.2,0.2
erdos_renyi,8,2,3,QTL gamma=0.20,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.7519333333333333,0.7519244444444444,0.758,0.0986,0.2,0.2
erdos_renyi,8,2,3,QTL gamma=0.40,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.8462222222222222,0.8468222222222221,0.8520222222222221,0.2556,0.4,0.4
erdos_renyi,8,2,3,QTL gamma=0.40,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.5636444444444445,0.5625866666666668,0.5686666666666667,0.011,0.4,0.4
erdos_renyi,8,2,3,QTL gamma=0.40,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8462444444444445,0.8468022222222222,0.8515555555555555,0.2556,0.4,0.4
erdos_renyi,8,2,3,QTL gamma=0.40,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.5699111111111111,0.5697022222222221,0.5740222222222222,0.006999999999999999,0.4,0.4
erdos_renyi,8,2,3,QTL gamma=0.40,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.7516888888888889,0.7502688888888889,0.757688888888889,0.1026,0.4,0.4
erdos_renyi,8,2,3,QTL gamma=0.60,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.8464888888888888,0.8462955555555556,0.8511777777777777,0.25639999999999996,0.6,0.6
erdos_renyi,8,2,3,QTL gamma=0.60,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.5709111111111111,0.5722022222222223,0.5765555555555556,0.0054,0.6,0.6
erdos_renyi,8,2,3,QTL gamma=0.60,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8464222222222222,0.8462866666666665,0.8512,0.2562,0.6,0.6
erdos_renyi,8,2,3,QTL gamma=0.60,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.569311111111111,0.5681133333333334,0.5706444444444444,0.0078,0.6,0.6
erdos_renyi,8,2,3,QTL gamma=0.60,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.7487555555555556,0.7482377777777778,0.7555999999999999,0.1032,0.6,0.6
erdos_renyi,8,2,3,QTL gamma=0.80,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.846311111111111,0.8454066666666666,0.8503777777777779,0.2584,0.8,0.8
erdos_renyi,8,2,3,QTL gamma=0.80,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.5593111111111111,0.5602444444444444,0.5662,0.011,0.8,0.8
erdos_renyi,8,2,3,QTL gamma=0.80,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8463777777777778,0.8454244444444443,0.850488888888889,0.2586,0.8,0.8
erdos_renyi,8,2,3,QTL gamma=0.80,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.5577333333333334,0.5590088888888889,0.5634888888888889,0.0114,0.8,0.8
erdos_renyi,8,2,3,QTL gamma=0.80,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.7470666666666667,0.7462511111111112,0.7541777777777778,0.1048,0.8,0.8
erdos_renyi,8,2,3,QTL gamma=1.20,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.8440888888888889,0.8441177777777777,0.849,0.2602,1.2,1.2
