graph_family,n,p,seed,objective,init_id,init_seed,init_params,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,final_optimal_mass,gamma_plot,gamma_average_requested,gamma_average_realized,gamma_start,gamma_end_exclusive,gamma_last
erdos_renyi,8,2,3,QTL ascending schedule with average gamma=1.40,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.8418888888888888,0.8422066666666668,0.8493999999999999,0.26,1.4,1.4,1.386,0.0,2.8,2.772
erdos_renyi,8,2,3,QTL ascending schedule with average gamma=1.40,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.8420444444444445,0.8421577777777778,0.8503111111111111,0.2594,1.4,1.4,1.386,0.0,2.8,2.772
erdos_renyi,8,2,3,QTL ascending schedule with average gamma=1.40,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.841911111111111,0.8421311111111113,0.8498888888888889,0.26,1.4,1.4,1.386,0.0,2.8,2.772
erdos_renyi,8,2,3,QTL ascending schedule with average gamma=1.40,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.5519333333333334,0.5504600000000001,0.5642888888888888,0.0214,1.4,1.4,1.386,0.0,2.8,2.772
erdos_renyi,8,2,3,QTL ascending schedule with average gamma=1.40,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.7398222222222223,0.7385711111111111,0.7573555555555556,0.11,1.4,1.4,1.386,0.0,2.8,2.772
erdos_renyi,8,2,3,QTL ascending schedule with average gamma=1.60,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.8417999999999999,0.8419133333333333,0.8488000000000001,0.2598,1.6,1.6,1.5840000000000003,0.0,3.2,3.168
erdos_renyi,8,2,3,QTL ascending schedule with average gamma=1.60,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.8417777777777777,0.8421799999999999,0.8488888888888888,0.26,1.6,1.6,1.5840000000000003,0.0,3.2,3.168
erdos_renyi,8,2,3,QTL ascending schedule with average gamma=1.60,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8418444444444444,0.8419377777777779,0.8490444444444445,0.2598,1.6,1.6,1.5840000000000003,0.0,3.2,3.168
erdos_renyi,8,2,3,QTL ascending schedule with average gamma=1.60,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.549911111111111,0.55052,0.5637777777777777,0.0206,1.6,1.6,1.5840000000000003,0.0,3.2,3.168
erdos_renyi,8,2,3,QTL ascending schedule with average gamma=1.60,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.7393111111111111,0.7377955555555556,0.7562888888888888,0.10980000000000001,1.6,1.6,1.5840000000000003,0.0,3.2,3.168
erdos_renyi,8,2,4,QTL ascending schedule with average gamma=0.20,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.91622,0.917444,0.9238799999999999,0.4808000000000001,0.2,0.2,0.19800000000000004,0.0,0.4,0.396
erdos_renyi,8,2,4,QTL ascending schedule with average gamma=0.20,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.86532,0.864926,0.87174,0.234,0.2,0.2,0.19800000000000004,0.0,0.4,0.396
erdos_renyi,8,2,4,QTL ascending schedule with average gamma=0.20,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.7257800000000001,0.7278439999999999,0.7401,0.1428,0.2,0.2,0.19800000000000004,0.0,0.4,0.396
erdos_renyi,8,2,4,QTL ascending schedule with average gamma=0.20,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.78474,0.741794,0.78474,0.1958,0.2,0.2,0.19800000000000004,0.0,0.4,0.396
erdos_renyi,8,2,4,QTL ascending schedule with average gamma=0.20,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.86966,0.8681180000000002,0.8729800000000001,0.2494,0.2,0.2,0.19800000000000004,0.0,0.4,0.396
erdos_renyi,8,2,4,QTL ascending schedule with average gamma=0.40,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.9114800000000001,0.9131779999999999,0.9234,0.49779999999999996,0.4,0.4,0.3960000000000001,0.0,0.8,0.792
erdos_renyi,8,2,4,QTL ascending schedule with average gamma=0.40,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.8602399999999999,0.861324,0.8707799999999999,0.2392,0.4,0.4,0.3960000000000001,0.0,0.8,0.792
erdos_renyi,8,2,4,QTL ascending schedule with average gamma=0.40,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.9114800000000001,0.9131980000000002,0.91974,0.49779999999999996,0.4,0.4,0.3960000000000001,0.0,0.8,0.792
erdos_renyi,8,2,4,QTL ascending schedule with average gamma=0.40,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.8777800000000001,0.8787879999999999,0.88096,0.32,0.4,0.4,0.3960000000000001,0.0,0.8,0.792
erdos_renyi,8,2,4,QTL ascending schedule with average gamma=0.40,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.8663599999999999,0.8656699999999999,0.8724399999999999,0.2578,0.4,0.4,0.3960000000000001,0.0,0.8,0.792
erdos_renyi,8,2,4,QTL ascending schedule with average gamma=0.60,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.90546,0.908792,0.9212399999999998,0.4967999999999999,0.6,0.6,0.5940000000000001,0.0,1.2,1.188
erdos_renyi,8,2,4,QTL ascending schedule with average gamma=0.60,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.8586600000000001,0.85863,0.86928,0.24519999999999997,0.6,0.6,0.5940000000000001,0.0,1.2,1.188
erdos_renyi,8,2,4,QTL ascending schedule with average gamma=0.60,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.90546,0.908794,0.9192,0.4967999999999999,0.6,0.6,0.5940000000000001,0.0,1.2,1.188
erdos_renyi,8,2,4,QTL ascending schedule with average gamma=0.60,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.87924,0.8783179999999999,0.88106,0.3434,0.6,0.6,0.5940000000000001,0.0,1.2,1.188
erdos_renyi,8,2,4,QTL ascending schedule with average gamma=0.60,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.8633600000000001,0.8631340000000002,0.87238,0.26139999999999997,0.6,0.6,0.5940000000000001,0.0,1.2,1.188
erdos_renyi,8,2,4,QTL ascending schedule with average gamma=0.80,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.90252,0.9051200000000001,0.9215799999999998,0.5012000000000001,0.8,0.8,0.7920000000000001,0.0,1.6,1.584
erdos_renyi,8,2,4,QTL ascending schedule with average gamma=0.80,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.8574000000000002,0.856202,0.8675999999999998,0.25,0.8,0.8,0.7920000000000001,0.0,1.6,1.584
erdos_renyi,8,2,4,QTL ascending schedule with average gamma=0.80,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8844999999999998,0.8853499999999999,0.8889400000000001,0.3980000000000001,0.8,0.8,0.7920000000000001,0.0,1.6,1.584
erdos_renyi,8,2,4,QTL ascending schedule with average gamma=0.80,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.8744399999999999,0.8752639999999999,0.8779399999999999,0.34940000000000004,0.8,0.8,0.7920000000000001,0.0,1.6,1.584
erdos_renyi,8,2,4,QTL ascending schedule with average gamma=0.80,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.86046,0.86079,0.87196,0.2638,0.8,0.8,0.7920000000000001,0.0,1.6,1.584
erdos_renyi,8,2,4,QTL ascending schedule with average gamma=1.20,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.8983599999999999,0.901122,0.92056,0.5035999999999999,1.2,1.2,1.1880000000000002,0.0,2.4,2.376
erdos_renyi,8,2,4,QTL ascending schedule with average gamma=1.20,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.85344,0.852356,0.86464,0.25,1.2,1.2,1.1880000000000002,0.0,2.4,2.376
erdos_renyi,8,2,4,QTL ascending schedule with average gamma=1.20,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8775200000000002,0.8777159999999998,0.88202,0.38480000000000003,1.2,1.2,1.1880000000000002,0.0,2.4,2.376
erdos_renyi,8,2,4,QTL ascending schedule with average gamma=1.20,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.86764,0.8680959999999999,0.8705999999999999,0.347,1.2,1.2,1.1880000000000002,0.0,2.4,2.376
erdos_renyi,8,2,4,QTL ascending schedule with average gamma=1.20,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.8561,0.8569420000000001,0.8720199999999998,0.2652,1.2,1.2,1.1880000000000002,0.0,2.4,2.376
erdos_renyi,8,2,4,QTL ascending schedule with average gamma=1.40,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.89692,0.8997659999999998,0.92142,0.5064,1.4,1.4,1.386,0.0,2.8,2.772
erdos_renyi,8,2,4,QTL ascending schedule with average gamma=1.40,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.85214,0.8513360000000001,0.86418,0.251,1.4,1.4,1.386,0.0,2.8,2.772
erdos_renyi,8,2,4,QTL ascending schedule with average gamma=1.40,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8969199999999999,0.899726,0.92004,0.5055999999999999,1.4,1.4,1.386,0.0,2.8,2.772
erdos_renyi,8,2,4,QTL ascending schedule with average gamma=1.40,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.8692,0.8700619999999999,0.8748000000000001,0.3588,1.4,1.4,1.386,0.0,2.8,2.772
erdos_renyi,8,2,4,QTL ascending schedule with average gamma=1.40,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.8545,0.856346,0.8721,0.2686,1.4,1.4,1.386,0.0,2.8,2.772
erdos_renyi,8,2,4,QTL ascending schedule with average gamma=1.60,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.8960799999999999,0.898916,0.92164,0.507,1.6,1.6,1.5840000000000003,0.0,3.2,3.168
erdos_renyi,8,2,4,QTL ascending schedule with average gamma=1.60,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.69034,0.6865319999999999,0.7095,0.08779999999999999,1.6,1.6,1.5840000000000003,0.0,3.2,3.168
erdos_renyi,8,2,4,QTL ascending schedule with average gamma=1.60,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.89606,0.8989040000000001,0.9194200000000002,0.5067999999999999,1.6,1.6,1.5840000000000003,0.0,3.2,3.168
erdos_renyi,8,2,4,QTL ascending schedule with average gamma=1.60,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.8960799999999999,0.898922,0.90984,0.507,1.6,1.6,1.5840000000000003,0.0,3.2,3.168
erdos_renyi,8,2,4,QTL ascending schedule with average gamma=1.60,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.8539000000000001,0.856082,0.8725000000000002,0.2698,1.6,1.6,1.5840000000000003,0.0,3.2,3.168
