control_index,control_r,alpha,one_minus_alpha,gamma,graph_family,graph_seed,init_id,init_seed,device_seed,final_mean_ratio_cvar,final_mean_ratio_qtl,tail_mean_ratio_cvar,tail_mean_ratio_qtl,peak_mean_ratio_cvar,peak_mean_ratio_qtl,final_optimal_mass_cvar,final_optimal_mass_qtl,final_mean_ratio_cvar_minus_qtl,tail_mean_ratio_cvar_minus_qtl,peak_mean_ratio_cvar_minus_qtl,final_optimal_mass_cvar_minus_qtl
1,0.09691001300805638,0.8,0.19999999999999996,0.3876400520322255,erdos_renyi,3,2,20262431,940102,0.8454666666666666,0.847488888888889,0.8459755555555555,0.8473355555555555,0.8517555555555556,0.8520888888888889,0.261,0.2596,-0.0020222222222223696,-0.0013600000000000279,-0.0003333333333332966,0.0014000000000000123
1,0.09691001300805638,0.8,0.19999999999999996,0.3876400520322255,erdos_renyi,3,3,20262432,940103,0.5782,0.5767777777777778,0.5776822222222222,0.5750355555555555,0.5807777777777778,0.5790444444444445,0.0066,0.0012,0.0014222222222222136,0.002646666666666686,0.0017333333333333645,0.0054
1,0.09691001300805638,0.8,0.19999999999999996,0.3876400520322255,erdos_renyi,3,4,20262433,940104,0.7475777777777778,0.750488888888889,0.751468888888889,0.753411111111111,0.7575111111111111,0.7564222222222222,0.109,0.1066,-0.0029111111111111976,-0.0019422222222220675,0.001088888888888917,0.0023999999999999994
1,0.09691001300805638,0.8,0.19999999999999996,0.3876400520322255,erdos_renyi,4,0,20262429,950100,0.9032199999999999,0.9152000000000001,0.9014,0.9170380000000001,0.9090800000000001,0.9209200000000001,0.5084,0.4744,-0.011980000000000213,-0.015638000000000152,-0.011839999999999962,0.033999999999999975
1,0.09691001300805638,0.8,0.19999999999999996,0.3876400520322255,erdos_renyi,4,1,20262430,950101,0.7066000000000001,0.7045399999999999,0.70724,0.7069219999999999,0.71288,0.7127000000000001,0.06459999999999999,0.062400000000000004,0.002060000000000173,0.00031800000000004047,0.00017999999999984695,0.0021999999999999867
1,0.09691001300805638,0.8,0.19999999999999996,0.3876400520322255,erdos_renyi,4,2,20262431,950102,0.9039200000000001,0.9179400000000001,0.9009319999999998,0.91784,0.91374,0.92118,0.5302,0.5018,-0.014020000000000032,-0.016908000000000145,-0.007440000000000002,0.02839999999999998
1,0.09691001300805638,0.8,0.19999999999999996,0.3876400520322255,erdos_renyi,4,3,20262432,950103,0.9012399999999999,0.91762,0.9019299999999999,0.9172459999999999,0.9168800000000001,0.9220200000000002,0.5208,0.48579999999999995,-0.01638000000000006,-0.015315999999999996,-0.005140000000000033,0.03500000000000009
1,0.09691001300805638,0.8,0.19999999999999996,0.3876400520322255,erdos_renyi,4,4,20262433,950104,0.86288,0.8657999999999999,0.8652460000000002,0.868318,0.8687999999999999,0.87294,0.263,0.2536,-0.0029199999999999227,-0.0030719999999998526,-0.0041400000000001436,0.00940000000000002
2,0.1870866433571444,0.65,0.35,0.7483465734285776,erdos_renyi,0,0,20262429,910200,0.8678571428571429,0.8700857142857142,0.8700085714285715,0.87248,0.8746285714285715,0.8759714285714286,0.3596,0.35660000000000003,-0.0022285714285713576,-0.002471428571428569,-0.0013428571428570901,0.002999999999999947
2,0.1870866433571444,0.65,0.35,0.7483465734285776,erdos_renyi,0,1,20262430,910201,0.6183428571428572,0.6192857142857143,0.6205742857142857,0.6186342857142857,0.6261142857142857,0.6220857142857142,0.0412,0.0538,-0.0009428571428571342,0.0019400000000000528,0.004028571428571492,-0.0126
