task_id,method,control_index,control_r,alpha,one_minus_alpha,gamma,graph_family,n,p,graph_seed,init_id,init_seed,device_seed,initial_parameters,final_parameters,final_objective_loss,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,best_ratio_so_far,final_optimal_mass,shots,steps,tail_window,optimizer_learning_rate,optimizer_learning_rate_decay_power,optimizer_learning_rate_decay_offset,optimizer_momentum,optimizer_gradient_clip,optimizer_tilt_learning_rate_penalty,simulator
QTL|r=0.187086643357|erdos_renyi|g=0|init=0,QTL,2,0.1870866433571444,0.65,0.35,0.7483465734285776,erdos_renyi,8,2,0,0,20262429,910200,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]","[2.7154136091776597, 0.9032325961532082, 3.37785246846021, 4.445823409427314]",0.6706650465667524,0.8700857142857142,0.87248,0.8759714285714286,1.0,0.35660000000000003,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
CVaR|r=0.187086643357|erdos_renyi|g=0|init=1,CVaR,2,0.1870866433571444,0.65,0.35,0.7483465734285776,erdos_renyi,8,2,0,1,20262430,910201,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]","[4.4879361387301975, 3.5560674061484416, 5.4984559093423, 0.9223716982739892]",1.9086153846153868,0.6183428571428572,0.6205742857142857,0.6261142857142857,1.0,0.0412,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
QTL|r=0.187086643357|erdos_renyi|g=0|init=1,QTL,2,0.1870866433571444,0.65,0.35,0.7483465734285776,erdos_renyi,8,2,0,1,20262430,910201,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]","[4.422862565499547, 3.595156986487324, 5.611553285994158, 0.7812499851443158]",1.9925091307470433,0.6192857142857143,0.6186342857142857,0.6220857142857142,1.0,0.0538,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
CVaR|r=0.187086643357|erdos_renyi|g=0|init=2,CVaR,2,0.1870866433571444,0.65,0.35,0.7483465734285776,erdos_renyi,8,2,0,2,20262431,910202,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]","[0.3369095707863584, 3.780108520295773, 1.0515260427805773, 2.8476070151781956]",0.3255384615384614,0.8819428571428573,0.8794857142857143,0.89,1.0,0.43839999999999996,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
QTL|r=0.187086643357|erdos_renyi|g=0|init=2,QTL,2,0.1870866433571444,0.65,0.35,0.7483465734285776,erdos_renyi,8,2,0,2,20262431,910202,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]","[0.31698125401212623, 3.744760863190754, 1.0718557092238785, 2.8629245817914493]",0.5532397549050087,0.889457142857143,0.8874428571428572,0.8909142857142857,1.0,0.43239999999999995,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
CVaR|r=0.187086643357|erdos_renyi|g=0|init=3,CVaR,2,0.1870866433571444,0.65,0.35,0.7483465734285776,erdos_renyi,8,2,0,3,20262432,910203,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]","[4.298224134938635, 3.077433363183441, 3.3358380192452444, 1.9998095686286348]",1.9796923076923068,0.6225714285714286,0.6184771428571428,0.623942857142857,1.0,0.0238,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
QTL|r=0.187086643357|erdos_renyi|g=0|init=3,QTL,2,0.1870866433571444,0.65,0.35,0.7483465734285776,erdos_renyi,8,2,0,3,20262432,910203,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]","[4.2742046598314465, 3.107339406558474, 3.302303264169754, 2.035365261810847]",2.1281075180078517,0.6233428571428572,0.6185114285714286,0.6233428571428572,1.0,0.0274,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
CVaR|r=0.187086643357|erdos_renyi|g=0|init=4,CVaR,2,0.1870866433571444,0.65,0.35,0.7483465734285776,erdos_renyi,8,2,0,4,20262433,910204,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]","[1.617783315764048, 5.094676956594508, 5.980283762789681, 4.325676695315736]",0.6612307692307695,0.8072571428571429,0.8068714285714286,0.8122285714285715,1.0,0.2268,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
QTL|r=0.187086643357|erdos_renyi|g=0|init=4,QTL,2,0.1870866433571444,0.65,0.35,0.7483465734285776,erdos_renyi,8,2,0,4,20262433,910204,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]","[1.6084734307068254, 5.091535844723396, 5.939584115535698, 4.3291141165474984]",0.9723448741772299,0.8087714285714286,0.8084200000000001,0.8128857142857143,1.0,0.22419999999999998,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
CVaR|r=0.301029995664|erdos_renyi|g=0|init=0,CVaR,3,0.30102999566398114,0.5,0.5,1.2041199826559246,erdos_renyi,8,2,0,0,20262429,910300,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]","[2.7085717093153154, 0.9126058198403914, 3.3998201223516316, 4.447152680352756]",0.2956000000000002,0.8668000000000001,0.8683457142857144,0.8742285714285715,1.0,0.35219999999999996,5000,100,10,0.18,0.35,6.0,0.7,2.5,0.0,lightning.qubit
