graph_family,n,p,seed,objective,init_id,init_seed,init_params,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,final_optimal_mass,gamma_plot,gamma_raw
erdos_renyi,8,2,0,QTL gamma=1.00,2,20262503,"[0.20955121882275055, 1.7771147348117822, 1.1170374762263715, 0.9901359326950538]",0.8736,0.8710000000000001,0.8748285714285714,0.3648,1.0,1.0
erdos_renyi,8,2,0,QTL gamma=1.00,3,20262504,"[2.9402097688325153, 2.325385077952556, 1.3539460024380696, 0.8331752715770295]",0.6177714285714286,0.6155171428571429,0.6217142857142858,0.023399999999999997,1.0,1.0
erdos_renyi,8,2,0,QTL gamma=1.00,4,20262505,"[2.5690836942466486, 0.5419586162094413, 2.762971809002851, 0.2545785366487556]",0.8719428571428571,0.8750228571428572,0.8793142857142857,0.3924,1.0,1.0
erdos_renyi,8,2,0,QTL gamma=1.50,0,20262501,"[2.834863079152674, 2.274532510449481, 1.3470427305204011, 2.773622675047124]",0.6120857142857143,0.6115085714285715,0.6212571428571428,0.026199999999999998,1.5,1.5
erdos_renyi,8,2,0,QTL gamma=1.50,1,20262502,"[2.668881521906221, 1.7560123976793411, 1.035076847301133, 0.13605818313757845]",0.8048571428571429,0.80266,0.8095142857142857,0.229,1.5,1.5
erdos_renyi,8,2,0,QTL gamma=1.50,2,20262503,"[0.20955121882275055, 1.7771147348117822, 1.1170374762263715, 0.9901359326950538]",0.8721428571428572,0.8699285714285715,0.8739428571428572,0.366,1.5,1.5
erdos_renyi,8,2,0,QTL gamma=1.50,3,20262504,"[2.9402097688325153, 2.325385077952556, 1.3539460024380696, 0.8331752715770295]",0.6115714285714285,0.6115742857142857,0.621257142857143,0.0258,1.5,1.5
erdos_renyi,8,2,0,QTL gamma=1.50,4,20262505,"[2.5690836942466486, 0.5419586162094413, 2.762971809002851, 0.2545785366487556]",0.8704000000000001,0.8727542857142858,0.8776285714285716,0.3966,1.5,1.5
erdos_renyi,8,2,0,QTL gamma=2.00,0,20262501,"[2.834863079152674, 2.274532510449481, 1.3470427305204011, 2.773622675047124]",0.6073428571428572,0.6040314285714286,0.6197999999999999,0.030199999999999998,2.0,2.0
erdos_renyi,8,2,0,QTL gamma=2.00,1,20262502,"[2.668881521906221, 1.7560123976793411, 1.035076847301133, 0.13605818313757845]",0.8022571428571429,0.7999742857142856,0.8059999999999999,0.22940000000000002,2.0,2.0
