graph_family,n,p,seed,objective,init_id,init_seed,init_params,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,final_optimal_mass,gamma_plot,gamma_start,gamma_end
erdos_renyi,8,2,0,QTL linear schedule to 1.60,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.8723428571428571,0.8700800000000001,0.8766,0.36639999999999995,1.6,0.0,1.6
erdos_renyi,8,2,0,QTL linear schedule to 1.60,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.6428285714285715,0.6406885714285714,0.6467714285714286,0.0832,1.6,0.0,1.6
erdos_renyi,8,2,0,QTL linear schedule to 1.60,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8830000000000001,0.8840971428571429,0.8913428571428572,0.42900000000000005,1.6,0.0,1.6
erdos_renyi,8,2,0,QTL linear schedule to 1.60,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.6172285714285713,0.61514,0.6230571428571429,0.0232,1.6,0.0,1.6
erdos_renyi,8,2,0,QTL linear schedule to 1.60,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.8051714285714286,0.8031885714285714,0.812457142857143,0.231,1.6,0.0,1.6
erdos_renyi,8,2,0,QTL linear schedule to 2.00,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.871257142857143,0.8693142857142856,0.8763142857142857,0.3672,2.0,0.0,2.0
erdos_renyi,8,2,0,QTL linear schedule to 2.00,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.6445714285714287,0.6440285714285715,0.6496857142857143,0.0802,2.0,0.0,2.0
erdos_renyi,8,2,0,QTL linear schedule to 2.00,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8820571428571429,0.8826371428571429,0.8902285714285716,0.43,2.0,0.0,2.0
erdos_renyi,8,2,0,QTL linear schedule to 2.00,3,20262432,"[4.307602282343021, 3.034090238606556, 2.891329909804126, 1.6537892584670473]",0.6167428571428573,0.6140285714285715,0.6220571428571429,0.0224,2.0,0.0,2.0
erdos_renyi,8,2,0,QTL linear schedule to 2.00,4,20262433,"[1.697931517675189, 4.9740234499068094, 5.809501218322688, 4.3764810471886175]",0.8037142857142856,0.8009542857142857,0.8121714285714285,0.23219999999999996,2.0,0.0,2.0
erdos_renyi,8,2,0,QTL linear schedule to 2.50,0,20262429,"[3.0045084741480124, 0.6658867766369198, 2.9231716237466285, 4.046416608096568]",0.8706285714285714,0.8686057142857143,0.8764000000000001,0.36760000000000004,2.5,0.0,2.5
erdos_renyi,8,2,0,QTL linear schedule to 2.50,1,20262430,"[5.1541213316333945, 3.721852295442659, 4.903726068591482, 1.2222919096378122]",0.6428000000000001,0.6418142857142858,0.6451714285714286,0.08099999999999999,2.5,0.0,2.5
erdos_renyi,8,2,0,QTL linear schedule to 2.50,2,20262431,"[0.7781164276219816, 3.2262615747046017, 1.0811483388068108, 2.98222281407082]",0.8804000000000001,0.881397142857143,0.8898857142857144,0.43019999999999997,2.5,0.0,2.5
